"Timestamp","Which field of tech do you belong to?","On a scale of 1 to 10, what proficiency is required in Mathematics/Calculations?","On a scale of 1-10, what level of attention to detail is needed?","On a scale of 1 to 10, what level of knowledge in statistics is needed?","Do you need to be Logical or Artistic?","Does decision making in your field tend more towards Facts or Feelings?","On a scale of 1 to 10, how important is affinity for puzzles/problem solving/algorithms needed?","Do you need to be persuasive?","On a scale of 1-10, how much is substantial vocabulary needed in your field?","Does your field require you to be the face of the project or the hand behind the scenes?","Do you work with Software or Hardware?"
"2020/06/29 3:23:49 PM GMT+1","Back-end Developer","8","7","3","Logical","Facts","9","No","4","Hand behind the Scenes","Software"
"2020/06/30 12:58:57 PM GMT+1","Back-end Developer","5","9","2","Logical","Facts","9","No","4","Hand behind the Scenes","Software"
"2020/06/30 1:00:05 PM GMT+1","Back-end Developer","6","10","5","Logical","Facts","10","No","4","Hand behind the Scenes","Software"
"2020/06/30 1:16:47 PM GMT+1","Back-end Developer","3","10","3","Logical","Facts","10","No","3","Hand behind the Scenes","Software"
"2020/06/30 1:29:31 PM GMT+1","Machine Learning","5","9","9","Logical","Facts","10","No","6","Hand behind the Scenes","Software"
"2020/06/30 1:32:11 PM GMT+1","Machine Learning","8","10","10","Logical","Facts","6","Yes","7","Hand behind the Scenes","Software"
"2020/06/30 1:35:18 PM GMT+1","Graphics Design","3","10","2","Artistic","Feelings","8","No","9","Hand behind the Scenes","Software"
"2020/06/30 1:38:04 PM GMT+1","UI/UX Deign","2","9","3","Artistic","Feelings","6","Yes","9","Face of the Project","Software"
"2020/06/30 1:41:51 PM GMT+1","Graphics Design","8","10","8","Logical","Facts","7","No","7","Hand behind the Scenes","Software"
"2020/06/30 1:53:07 PM GMT+1","Back-end Developer","6","9","5","Logical","Facts","9","No","7","Hand behind the Scenes","Software"
"2020/06/30 1:58:50 PM GMT+1","Product Design/Management","9","9","9","Logical","Facts","9","No","8","Hand behind the Scenes","Hardware"
"2020/06/30 2:26:19 PM GMT+1","Video and Editing","5","9","9","Logical","Facts","10","Yes","10","Face of the Project","Software"
"2020/06/30 3:07:10 PM GMT+1","Front-end Developer","4","9","4","Artistic","Feelings","8","Yes","5","Face of the Project","Software"
"2020/06/30 3:07:12 PM GMT+1","Front-end Developer","4","9","4","Artistic","Feelings","8","Yes","5","Face of the Project","Software"
"2020/06/30 3:08:57 PM GMT+1","Digital Marketing","6","10","7","Logical","Facts","7","Yes","9","Face of the Project","Software"
"2020/06/30 3:14:22 PM GMT+1","Data Analysis","8","9","8","Logical","Facts","9","No","7","Face of the Project","Software"
"2020/06/30 3:22:01 PM GMT+1","Data Analysis","8","9","8","Logical","Facts","9","No","7","Face of the Project","Software"
"2020/06/30 3:30:06 PM GMT+1","Front-end Developer","3","10","3","Artistic","Feelings","7","Yes","9","Hand behind the Scenes","Software"
"2020/06/30 4:31:36 PM GMT+1","Machine Learning","6","9","8","Logical","Facts","8","Yes","5","Hand behind the Scenes","Software"
"2020/06/30 4:37:40 PM GMT+1","Graphics Design","7","9","5","Logical","Feelings","9","Yes","6","Face of the Project","Software"
"2020/06/30 4:41:50 PM GMT+1","Content Development","9","9","10","Logical","Facts","7","Yes","10","Hand behind the Scenes","Software"
"2020/06/30 4:49:25 PM GMT+1","Machine Learning","7","9","10","Logical","Facts","10","Yes","8","Face of the Project","Software"
"2020/06/30 6:02:06 PM GMT+1","Front-end Developer","4","10","4","Artistic","Facts","5","Yes","10","Hand behind the Scenes","Software"
"2020/06/30 6:09:55 PM GMT+1","Full-stack software engineer ","6","9","9","Logical","Facts","9","No","9","Face of the Project","Software"
"2020/06/30 6:50:26 PM GMT+1","Product Design/Management","5","10","6","Logical","Facts","9","No","3","Hand behind the Scenes","Software"
